colour	fill	x	y	group	showSelected1
#FE0600	#FE0600	199.399261705358	320.715643076829	1	3
#FE0600	#FE0600	197.126436781609	319.977157493014	1	3
#FE0600	#FE0600	195.350477043822	318.3780761626	1	3
#FE0600	#FE0600	194.378462064748	316.194894774815	1	3
#FE0600	#FE0600	194.378462064748	313.805105225185	1	3
#FE0600	#FE0600	195.350477043822	311.6219238374	1	3
#FE0600	#FE0600	197.126436781609	310.022842506986	1	3
#FE0600	#FE0600	199.399261705358	309.284356923171	1	3
#FE0600	#FE0600	201.775959737787	309.534157952327	1	3
#FE0600	#FE0600	203.845578197465	310.729052727141	1	3
#FE0600	#FE0600	205.25026125082	312.662433085771	1	3
#FE0600	#FE0600	205.747126436782	315	1	3
#FE0800	#FE0800	205.747126436782	315	1	4
#FE0800	#FE0800	205.25026125082	317.337566914229	1	4
#FE0800	#FE0800	203.845578197465	319.270947272859	1	4
#FE0800	#FE0800	201.775959737787	320.465842047673	1	4
#FE0800	#FE0800	199.399261705358	320.715643076829	1	4
#FE0800	#FE0800	197.126436781609	319.977157493014	1	4
#FE0800	#FE0800	195.350477043822	318.3780761626	1	4
#FE0800	#FE0800	194.378462064748	316.194894774815	1	4
#FE0800	#FE0800	194.378462064748	313.805105225185	1	4
#FE0800	#FE0800	195.350477043822	311.6219238374	1	4
#FE0800	#FE0800	197.126436781609	310.022842506986	1	4
#FE0800	#FE0800	199.399261705358	309.284356923171	1	4
#FE0800	#FE0800	201.775959737787	309.534157952327	1	4
#FE0800	#FE0800	203.845578197465	310.729052727141	1	4
#FE0800	#FE0800	205.25026125082	312.662433085771	1	4
#FE0800	#FE0800	205.747126436782	315	1	4
#FE0B00	#FE0B00	205.747126436782	315	1	5
#FE0B00	#FE0B00	205.25026125082	317.337566914229	1	5
#FE0B00	#FE0B00	203.845578197465	319.270947272859	1	5
#FE0B00	#FE0B00	201.775959737787	320.465842047673	1	5
#FE0B00	#FE0B00	199.399261705358	320.715643076829	1	5
#FE0B00	#FE0B00	197.126436781609	319.977157493014	1	5
#FE0B00	#FE0B00	195.350477043822	318.3780761626	1	5
#FE0B00	#FE0B00	194.378462064748	316.194894774815	1	5
#FE0B00	#FE0B00	194.378462064748	313.805105225185	1	5
#FE0B00	#FE0B00	195.350477043822	311.6219238374	1	5
#FE0B00	#FE0B00	197.126436781609	310.022842506986	1	5
#FE0B00	#FE0B00	199.399261705358	309.284356923171	1	5
#FE0B00	#FE0B00	201.775959737787	309.534157952327	1	5
#FE0B00	#FE0B00	203.845578197465	310.729052727141	1	5
#FE0B00	#FE0B00	205.25026125082	312.662433085771	1	5
#FE0B00	#FE0B00	205.747126436782	315	1	5
#FD0E00	#FD0E00	205.747126436782	315	1	6
#FD0E00	#FD0E00	205.25026125082	317.337566914229	1	6
#FD0E00	#FD0E00	203.845578197465	319.270947272859	1	6
#FD0E00	#FD0E00	201.775959737787	320.465842047673	1	6
#FD0E00	#FD0E00	199.399261705358	320.715643076829	1	6
#FD0E00	#FD0E00	197.126436781609	319.977157493014	1	6
#FD0E00	#FD0E00	195.350477043822	318.3780761626	1	6
#FD0E00	#FD0E00	194.378462064748	316.194894774815	1	6
#FD0E00	#FD0E00	194.378462064748	313.805105225185	1	6
#FD0E00	#FD0E00	195.350477043822	311.6219238374	1	6
#FD0E00	#FD0E00	197.126436781609	310.022842506986	1	6
#FD0E00	#FD0E00	199.399261705358	309.284356923171	1	6
#FD0E00	#FD0E00	201.775959737787	309.534157952327	1	6
#FD0E00	#FD0E00	203.845578197465	310.729052727141	1	6
#FD0E00	#FD0E00	205.25026125082	312.662433085771	1	6
#FD0E00	#FD0E00	205.747126436782	315	1	6
#FD1100	#FD1100	205.747126436782	315	1	7
#FD1100	#FD1100	205.25026125082	317.337566914229	1	7
#FD1100	#FD1100	203.845578197465	319.270947272859	1	7
#FD1100	#FD1100	201.775959737787	320.465842047673	1	7
#FD1100	#FD1100	199.399261705358	320.715643076829	1	7
#FD1100	#FD1100	197.126436781609	319.977157493014	1	7
#FD1100	#FD1100	195.350477043822	318.3780761626	1	7
#FD1100	#FD1100	194.378462064748	316.194894774815	1	7
#FD1100	#FD1100	194.378462064748	313.805105225185	1	7
#FD1100	#FD1100	195.350477043822	311.6219238374	1	7
#FD1100	#FD1100	197.126436781609	310.022842506986	1	7
#FD1100	#FD1100	199.399261705358	309.284356923171	1	7
#FD1100	#FD1100	201.775959737787	309.534157952327	1	7
#FD1100	#FD1100	203.845578197465	310.729052727141	1	7
#FD1100	#FD1100	205.25026125082	312.662433085771	1	7
#FD1100	#FD1100	205.747126436782	315	1	7
#FD1400	#FD1400	205.747126436782	315	1	8
#FD1400	#FD1400	205.25026125082	317.337566914229	1	8
#FD1400	#FD1400	203.845578197465	319.270947272859	1	8
