colour	fill	x	y	group
#000000	#FFFFFF	98.2758620689655	26.25	112
#000000	#FFFFFF	103.448275862069	43.75	112
#000000	#FFFFFF	108.620689655172	26.25	112
#000000	#FFFFFF	98.2758620689655	26.25	112
#000000	#FFFFFF	98.2758620689655	72.9166666666667	113
#000000	#FFFFFF	103.448275862069	90.4166666666667	113
#000000	#FFFFFF	108.620689655172	72.9166666666667	113
#000000	#FFFFFF	98.2758620689655	72.9166666666667	113
#000000	#FFFFFF	98.2758620689655	119.583333333333	114
#000000	#FFFFFF	103.448275862069	137.083333333333	114
#000000	#FFFFFF	108.620689655172	119.583333333333	114
#000000	#FFFFFF	98.2758620689655	119.583333333333	114
#000000	#FFFFFF	98.2758620689655	166.25	115
#000000	#FFFFFF	103.448275862069	183.75	115
#000000	#FFFFFF	108.620689655172	166.25	115
#000000	#FFFFFF	98.2758620689655	166.25	115
#000000	#FFFFFF	112.068965517241	2.91666666666667	116
#000000	#FFFFFF	117.241379310345	20.4166666666667	116
#000000	#FFFFFF	122.413793103448	2.91666666666667	116
#000000	#FFFFFF	112.068965517241	2.91666666666667	116
#000000	#FFFFFF	112.068965517241	49.5833333333333	117
#000000	#FFFFFF	117.241379310345	67.0833333333333	117
#000000	#FFFFFF	122.413793103448	49.5833333333333	117
#000000	#FFFFFF	112.068965517241	49.5833333333333	117
#000000	#FFFFFF	112.068965517241	96.25	118
#000000	#FFFFFF	117.241379310345	113.75	118
#000000	#FFFFFF	122.413793103448	96.25	118
#000000	#FFFFFF	112.068965517241	96.25	118
#000000	#FFFFFF	112.068965517241	142.916666666667	119
#000000	#FFFFFF	117.241379310345	160.416666666667	119
#000000	#FFFFFF	122.413793103448	142.916666666667	119
#000000	#FFFFFF	112.068965517241	142.916666666667	119
#000000	#FFFFFF	112.068965517241	189.583333333333	120
#000000	#FFFFFF	117.241379310345	207.083333333333	120
#000000	#FFFFFF	122.413793103448	189.583333333333	120
#000000	#FFFFFF	112.068965517241	189.583333333333	120
#000000	#FFFFFF	125.862068965517	26.25	2
#000000	#FFFFFF	131.034482758621	43.75	2
#000000	#FFFFFF	136.206896551724	26.25	2
#000000	#FFFFFF	125.862068965517	26.25	2
#000000	#FFFFFF	125.862068965517	72.9166666666667	3
#000000	#FFFFFF	131.034482758621	90.4166666666667	3
#000000	#FFFFFF	136.206896551724	72.9166666666667	3
#000000	#FFFFFF	125.862068965517	72.9166666666667	3
#000000	#FFFFFF	125.862068965517	119.583333333333	4
#000000	#FFFFFF	131.034482758621	137.083333333333	4
#000000	#FFFFFF	136.206896551724	119.583333333333	4
#000000	#FFFFFF	125.862068965517	119.583333333333	4
#000000	#FFFFFF	125.862068965517	166.25	5
#000000	#FFFFFF	131.034482758621	183.75	5
#000000	#FFFFFF	136.206896551724	166.25	5
#000000	#FFFFFF	125.862068965517	166.25	5
#000000	#FFFFFF	125.862068965517	212.916666666667	1
#000000	#FFFFFF	131.034482758621	230.416666666667	1
#000000	#FFFFFF	136.206896551724	212.916666666667	1
#000000	#FFFFFF	125.862068965517	212.916666666667	1
#000000	#FFFFFF	139.655172413793	2.91666666666667	7
#000000	#FFFFFF	144.827586206897	20.4166666666667	7
#000000	#FFFFFF	150	2.91666666666667	7
#000000	#FFFFFF	139.655172413793	2.91666666666667	7
#000000	#FFFFFF	139.655172413793	49.5833333333333	9
#000000	#FFFFFF	144.827586206897	67.0833333333333	9
#000000	#FFFFFF	150	49.5833333333333	9
#000000	#FFFFFF	139.655172413793	49.5833333333333	9
#000000	#FFFFFF	139.655172413793	96.25	10
#000000	#FFFFFF	144.827586206897	113.75	10
#000000	#FFFFFF	150	96.25	10
#000000	#FFFFFF	139.655172413793	96.25	10
#000000	#FFFFFF	139.655172413793	142.916666666667	11
#000000	#FFFFFF	144.827586206897	160.416666666667	11
#000000	#FFFFFF	150	142.916666666667	11
#000000	#FFFFFF	139.655172413793	142.916666666667	11
#000000	#FFFFFF	139.655172413793	189.583333333333	12
#000000	#FFFFFF	144.827586206897	207.083333333333	12
#000000	#FFFFFF	150	189.583333333333	12
#000000	#FFFFFF	139.655172413793	189.583333333333	12
#000000	#FFFFFF	139.655172413793	236.25	8
#000000	#FFFFFF	144.827586206897	253.75	8
